Epoch: 56/200 | Val loss: 0.8145 | Val acc: 0.7857 | Train loss: 0.6614 | Train acc: 0.8793
Epoch: 57/200 | Val loss: 0.8133 | Val acc: 0.7857 | Train loss: 0.6485 | Train acc: 0.8793
Epoch: 58/200 | Val loss: 0.8136 | Val acc: 0.7857 | Train loss: 0.6683 | Train acc: 0.8707
Epoch: 59/200 | Val loss: 0.8019 | Val acc: 0.7857 | Train loss: 0.6846 | Train acc: 0.8448
Epoch: 60/200 | Val loss: 0.8073 | Val acc: 0.7857 | Train loss: 0.6742 | Train acc: 0.8276
Epoch: 61/200 | Val loss: 0.8178 | Val acc: 0.7857 | Train loss: 0.6810 | Train acc: 0.8621
Epoch: 62/200 | Val loss: 0.7995 | Val acc: 0.7857 | Train loss: 0.7060 | Train acc: 0.8362
Epoch: 63/200 | Val loss: 0.7964 | Val acc: 0.7857 | Train loss: 0.6191 | Train acc: 0.8793
Epoch: 64/200 | Val loss: 0.7879 | Val acc: 0.7857 | Train loss: 0.6419 | Train acc: 0.8879
Epoch: 65/200 | Val loss: 0.7918 | Val acc: 0.7857 | Train loss: 0.6378 | Train acc: 0.9138
Epoch: 66/200 | Val loss: 0.7750 | Val acc: 0.7857 | Train loss: 0.6679 | Train acc: 0.8534
Epoch: 67/200 | Val loss: 0.7826 | Val acc: 0.7857 | Train loss: 0.6460 | Train acc: 0.8707
Epoch: 68/200 | Val loss: 0.7752 | Val acc: 0.7857 | Train loss: 0.6380 | Train acc: 0.8966
Epoch: 69/200 | Val loss: 0.7684 | Val acc: 0.7857 | Train loss: 0.6138 | Train acc: 0.9138
Epoch: 70/200 | Val loss: 0.7739 | Val acc: 0.7857 | Train loss: 0.5800 | Train acc: 0.9138
Epoch: 71/200 | Val loss: 0.7724 | Val acc: 0.7857 | Train loss: 0.6096 | Train acc: 0.9138
Epoch: 72/200 | Val loss: 0.7820 | Val acc: 0.7857 | Train loss: 0.6336 | Train acc: 0.8879
Epoch: 73/200 | Val loss: 0.7794 | Val acc: 0.7857 | Train loss: 0.6302 | Train acc: 0.8966
Epoch: 74/200 | Val loss: 0.7624 | Val acc: 0.7857 | Train loss: 0.6297 | Train acc: 0.9052
Epoch: 75/200 | Val loss: 0.7711 | Val acc: 0.7857 | Train loss: 0.6309 | Train acc: 0.8879
