number, value             , datetime_start            , datetime_complete         , duration              , params_base_model, params_heads, params_hidden_dim, params_learning_rate  , user_attrs_base_model, user_attrs_heads, user_attrs_hidden_dim, user_attrs_lr         , state
    26, 0.869090909090909 , 2026-03-16 22:45:17.019170, 2026-03-16 22:54:13.486908, 0 days 00:08:56.467738, resnet18         ,            8,                64, 0.0009953672665363076 , resnet18             ,                8,                    64, 0.0009953672665363076 , COMPLETE
    27, 0.855909090909091 , 2026-03-16 22:54:13.486908, 2026-03-16 23:06:23.530370, 0 days 00:12:10.043462, resnet18         ,            8,                64, 0.0014583721267258996 , resnet18             ,                8,                    64, 0.0014583721267258996 , COMPLETE
    28, 0.9067821067821068, 2026-03-16 23:06:23.531375, 2026-03-16 23:16:15.349272, 0 days 00:09:51.817897, resnet18         ,            8,               256, 0.0009007206974030651 , resnet18             ,                8,                   256, 0.0009007206974030651 , COMPLETE
    29, 0.7473580557744327, 2026-03-16 23:16:15.350274, 2026-03-16 23:25:39.043987, 0 days 00:09:23.693713, resnet18         ,            8,               256, 0.0020101844815557587 , resnet18             ,                8,                   256, 0.0020101844815557587 , COMPLETE
    30, 0.7975545920356797, 2026-03-16 23:25:39.043987, 2026-03-16 23:37:26.658173, 0 days 00:11:47.614186, resnet18         ,            8,               256, 0.0006869407240601878 , resnet18             ,                8,                   256, 0.0006869407240601878 , COMPLETE
    31, 0.8241643323996265, 2026-03-16 23:37:26.658173, 2026-03-16 23:48:10.491975, 0 days 00:10:43.833802, resnet18         ,            8,              1024, 0.001387599528620069  , resnet18             ,                8,                  1024, 0.001387599528620069  , COMPLETE
    32, 0.7859393939393939, 2026-03-16 23:48:10.491975, 2026-03-17 00:04:05.054478, 0 days 00:15:54.562503, resnet18         ,            8,               256, 0.0009815922027241032 , resnet18             ,                8,                   256, 0.0009815922027241032 , COMPLETE
    33, 0.7960136120563928, 2026-03-17 00:04:05.055488, 2026-03-17 00:13:50.871305, 0 days 00:09:45.815817, resnet18         ,            8,               512, 0.0022413281811746867 , resnet18             ,                8,                   512, 0.0022413281811746867 , COMPLETE
    34, 0.8386268702058176, 2026-03-17 00:13:50.871305, 2026-03-17 00:41:35.445962, 0 days 00:27:44.574657, resnet18         ,            8,               256, 2.708791221871362e-05 , resnet18             ,                8,                   256, 2.708791221871362e-05 , COMPLETE
    35, 0.8727272727272727, 2026-03-17 00:41:35.445962, 2026-03-17 01:02:19.292255, 0 days 00:20:43.846293,                  ,            8,               128, 0.006692147976017682  ,                      ,                8,                   128, 0.006692147976017682  , COMPLETE
    36, 0.7883405483405483, 2026-03-17 01:02:19.292255, 2026-03-17 01:13:47.083197, 0 days 00:11:27.790942,                  ,            8,               128, 0.006494902517770198  ,                      ,                8,                   128, 0.006494902517770198  , COMPLETE
    37, 0.875             , 2026-03-17 01:13:47.083197, 2026-03-17 01:41:22.908052, 0 days 00:27:35.824855,                  ,            8,               128, 0.006907160661645033  ,                      ,                8,                   128, 0.006907160661645033  , COMPLETE
    38, 0.9070234815689361, 2026-03-17 01:41:22.908052, 2026-03-17 02:02:06.169099, 0 days 00:20:43.261047,                  ,            8,               128, 0.006804938066968659  ,                      ,                8,                   128, 0.006804938066968659  , COMPLETE
    39, 0.8139229696135067, 2026-03-17 02:02:06.169099, 2026-03-17 02:18:08.227376, 0 days 00:16:02.058277,                  ,            8,               128, 0.006722413339744455  ,                      ,                8,                   128, 0.006722413339744455  , COMPLETE
    40, 0.894178145087236 , 2026-03-17 02:18:08.228377, 2026-03-17 02:38:06.498454, 0 days 00:19:58.270077,                  ,            8,               128, 0.005560681939318449  ,                      ,                8,                   128, 0.005560681939318449  , COMPLETE
    41, 0.8917429086920613, 2026-03-17 02:38:06.499457, 2026-03-17 03:00:49.541059, 0 days 00:22:43.041602,                  ,            8,               128, 0.005652579595256735  ,                      ,                8,                   128, 0.005652579595256735  , COMPLETE
    42, 0.8266405311859857, 2026-03-17 03:00:49.542072, 2026-03-17 03:14:04.029385, 0 days 00:13:14.487313,                  ,            8,               128, 0.005591611143802144  ,                      ,                8,                   128, 0.005591611143802144  , COMPLETE
    43, 0.9094503741872162, 2026-03-17 03:14:04.030490, 2026-03-17 03:27:18.541683, 0 days 00:13:14.511193,                  ,            8,               128, 0.005549422218600842  ,                      ,                8,                   128, 0.005549422218600842  , COMPLETE
    44, 0.8836606871389481, 2026-03-17 03:27:18.541683, 2026-03-17 03:39:47.933433, 0 days 00:12:29.391750,                  ,            8,               128, 0.005580166767192011  ,                      ,                8,                   128, 0.005580166767192011  , COMPLETE
    45, 0.8227904019208367, 2026-03-17 03:39:47.933433, 2026-03-17 04:13:08.808083, 0 days 00:33:20.874650,                  ,            8,               128, 0.00600596030115562   ,                      ,                8,                   128, 0.00600596030115562   , COMPLETE
    46, 0.8642736632506453, 2026-03-17 04:13:08.808083, 2026-03-17 04:37:47.427249, 0 days 00:24:38.619166,                  ,            8,               128, 0.004464688045194674  ,                      ,                8,                   128, 0.004464688045194674  , COMPLETE
    47, 0.8483566433566434, 2026-03-17 04:37:47.428251, 2026-03-17 04:56:55.727250, 0 days 00:19:08.298999,                  ,            4,               128, 0.00612101511887382   ,                      ,                4,                   128, 0.00612101511887382   , COMPLETE
    48, 0.8452352696511876, 2026-03-17 04:56:55.728251, 2026-03-17 05:10:55.299516, 0 days 00:13:59.571265,                  ,            8,               512, 0.005221984737931856  ,                      ,                8,                   512, 0.005221984737931856  , COMPLETE
    49, 0.7995633647398354, 2026-03-17 05:10:55.299516, 2026-03-17 05:29:59.937775, 0 days 00:19:04.638259,                  ,            8,               128, 0.008468187330342956  ,                      ,                8,                   128, 0.008468187330342956  , COMPLETE
    50, 0.8068511198945982, 2026-03-17 05:29:59.937775, 2026-03-17 05:47:31.265287, 0 days 00:17:31.327512,                  ,            8,               128, 0.007287903217595718  ,                      ,                8,                   128, 0.007287903217595718  , COMPLETE
    51, 0.7551074380165289, 2026-03-17 05:47:31.265287, 2026-03-17 06:12:53.470274, 0 days 00:25:22.204987,                  ,            8,               128, 0.005587044944182298  ,                      ,                8,                   128, 0.005587044944182298  , COMPLETE
