number,value,datetime_start,datetime_complete,duration,params_base_model,params_heads,params_hidden_dim,params_learning_rate,user_attrs_base_model,user_attrs_heads,user_attrs_hidden_dim,user_attrs_lr,state
30,0.8928571428571429,2026-06-19 16:29:04.503416,2026-06-19 16:29:41.326020,0 days 00:00:36.822604,resnet50,2,1024,0.019399974288798045,resnet50,2,1024,0.019399974288798045,COMPLETE
31,0.8928571428571429,2026-06-19 16:29:41.326319,2026-06-19 16:30:59.492064,0 days 00:01:18.165745,convnext_small,2,128,0.003097942808292262,convnext_small,2,128,0.003097942808292262,COMPLETE
32,0.8928571428571429,2026-06-19 16:30:59.492351,2026-06-19 16:31:20.886256,0 days 00:00:21.393905,resnet18,2,1024,0.0038784909534046825,resnet18,2,1024,0.0038784909534046825,COMPLETE
33,0.9464285714285714,2026-06-19 16:31:20.886574,2026-06-19 16:33:24.484032,0 days 00:02:03.597458,convnext_small,2,64,0.002717880351978981,convnext_small,2,64,0.002717880351978981,COMPLETE
34,0.8928571428571429,2026-06-19 16:33:24.484344,2026-06-19 16:35:28.226294,0 days 00:02:03.741950,convnext_small,2,256,4.735859089760792e-05,convnext_small,2,256,4.735859089760792e-05,COMPLETE
35,0.8928571428571429,2026-06-19 16:35:28.226592,2026-06-19 16:37:29.534551,0 days 00:02:01.307959,convnext_base,16,1024,0.013893772991398183,convnext_base,16,1024,0.013893772991398183,COMPLETE
36,0.9464285714285714,2026-06-19 16:37:29.534948,2026-06-19 16:39:25.433898,0 days 00:01:55.898950,convnext_small,4,1024,0.002049627287780161,convnext_small,4,1024,0.002049627287780161,COMPLETE
37,0.5892857142857143,2026-06-19 16:39:25.434242,2026-06-19 16:39:39.302611,0 days 00:00:13.868369,resnet18,2,64,0.008055087450360791,resnet18,2,64,0.008055087450360791,COMPLETE
38,0.9107142857142857,2026-06-19 16:39:39.302925,2026-06-19 16:40:57.863306,0 days 00:01:18.560381,convnext_small,8,256,0.022754172953588857,convnext_small,8,256,0.022754172953588857,COMPLETE
39,0.9285714285714286,2026-06-19 16:40:57.863597,2026-06-19 16:42:46.325993,0 days 00:01:48.462396,convnext_small,16,128,0.002839226722703838,convnext_small,16,128,0.002839226722703838,COMPLETE
40,0.17857142857142858,2026-06-19 16:42:46.326290,2026-06-19 16:43:07.998967,0 days 00:00:21.672677,resnet34,2,64,0.012247764241098937,resnet34,2,64,0.012247764241098937,COMPLETE
41,0.8928571428571429,2026-06-19 16:43:07.999269,2026-06-19 16:44:03.729368,0 days 00:00:55.730099,convnext_small,4,1024,0.0021264735821935284,convnext_small,4,1024,0.0021264735821935284,COMPLETE
42,0.8928571428571429,2026-06-19 16:44:03.729684,2026-06-19 16:45:30.499975,0 days 00:01:26.770291,convnext_small,4,1024,0.00557892258477985,convnext_small,4,1024,0.00557892258477985,COMPLETE
43,0.9464285714285714,2026-06-19 16:45:30.500265,2026-06-19 16:46:49.904462,0 days 00:01:19.404197,convnext_small,4,1024,0.002331082397830947,convnext_small,4,1024,0.002331082397830947,COMPLETE
44,0.9642857142857143,2026-06-19 16:46:49.904815,2026-06-19 16:48:53.943951,0 days 00:02:04.039136,convnext_small,4,1024,0.0067854664390857265,convnext_small,4,1024,0.0067854664390857265,COMPLETE
45,0.9642857142857143,2026-06-19 16:48:53.944251,2026-06-19 16:50:50.682209,0 days 00:01:56.737958,convnext_small,4,1024,0.007546511347981891,convnext_small,4,1024,0.007546511347981891,COMPLETE
46,0.9464285714285714,2026-06-19 16:50:50.682505,2026-06-19 16:53:01.681493,0 days 00:02:10.998988,convnext_small,4,1024,0.00988349099580392,convnext_small,4,1024,0.00988349099580392,COMPLETE
47,0.9285714285714286,2026-06-19 16:53:01.681829,2026-06-19 16:53:49.515227,0 days 00:00:47.833398,resnet50,4,1024,0.017838685227412266,resnet50,4,1024,0.017838685227412266,COMPLETE
