number, value              , datetime_start            , datetime_complete         , duration              , params_attention_dim, params_attention_heads, params_base_model, params_gamma, params_hidden_dim, params_lr             , params_smoothing    , state
    27, 0.9203671199061271 , 2026-07-15 21:19:04.943657, 2026-07-15 21:20:30.906008, 0 days 00:01:25.962351,                  512,                     32, resnet34         ,            5,              1024, 0.0004375782398368517 , 0.20355093798861962 , COMPLETE
    28, 0.9196955733475343 , 2026-07-15 21:20:30.906372, 2026-07-15 21:22:04.037574, 0 days 00:01:33.131202,                  512,                     32, resnet34         ,            5,              1024, 0.0005116012774659968 , 0.1226891533625545  , COMPLETE
    29, 0.8989529928611648 , 2026-07-15 21:22:04.037913, 2026-07-15 21:23:43.067237, 0 days 00:01:39.029324,                  512,                     32, resnet34         ,            2,              1024, 4.096117975646555e-05 , 0.20541912500919804 , COMPLETE
    30, 0.9054118021620102 , 2026-07-15 21:23:43.067601, 2026-07-15 21:24:40.058040, 0 days 00:00:56.990439,                  512,                     32, resnet18         ,            3,              1024, 7.641123710016052e-05 , 0.076793894832488   , COMPLETE
    31, 0.9118438686067124 , 2026-07-15 21:24:40.058389, 2026-07-15 21:25:59.143212, 0 days 00:01:19.084823,                  512,                     32, resnet34         ,            5,              1024, 0.00036438074385985943, 0.1843670843139133  , COMPLETE
    32, 0.9074879394487237 , 2026-07-15 21:25:59.143564, 2026-07-15 21:27:20.017540, 0 days 00:01:20.873976,                  512,                     32, resnet34         ,            5,              1024, 0.00019281528483810342, 0.123883679569251   , COMPLETE
    33, 0.8680276694982577 , 2026-07-15 21:27:20.017887, 2026-07-15 21:31:15.817052, 0 days 00:03:55.799165,                  128,                     32, convnext_small   ,            5,              1024, 0.0007716033389367544 , 0.20387379698955405 , COMPLETE
    34, 0.885772501329224  , 2026-07-15 21:31:15.817460, 2026-07-15 21:32:46.340001, 0 days 00:01:30.522541,                  512,                     16, resnet34         ,            4,               128, 0.001451136854089463  , 0.2977220811729944  , COMPLETE
    35, 0.8916089025612836 , 2026-07-15 21:32:46.340380, 2026-07-15 21:35:02.712269, 0 days 00:02:16.371889,                 1024,                     32, resnet34         ,            1,                64, 0.00010226376334381004, 0.141185353427862   , COMPLETE
    36, 0.9258297636220242 , 2026-07-15 21:35:02.712620, 2026-07-15 21:37:09.494041, 0 days 00:02:06.781421,                   64,                      4, resnet34         ,            5,              1024, 0.00019093600430861542, 0.05356328758365936 , COMPLETE
    37, 0.8358564569330055 , 2026-07-15 21:37:09.494402, 2026-07-15 21:42:31.008906, 0 days 00:05:21.514504,                   64,                      4, convnext_small   ,            4,               128, 2.8691202590260926e-05, 0.047941811193066064, COMPLETE
    38, 0.8843582193557706 , 2026-07-15 21:42:31.009354, 2026-07-15 21:43:25.442761, 0 days 00:00:54.433407,                   64,                      4, resnet18         ,            3,              1024, 0.00017874165756967533, 0.06138735418789009 , COMPLETE
    39, 0.9107939472085129 , 2026-07-15 21:43:25.443139, 2026-07-15 21:45:14.418210, 0 days 00:01:48.975071,                   64,                      4, resnet34         ,            2,               256, 0.0002284779952176948 , 0.046190273228123996, COMPLETE
    40, 0.9051824138110506 , 2026-07-15 21:45:14.418599, 2026-07-15 21:46:28.484375, 0 days 00:01:14.065776,                   64,                      4, resnet34         ,            4,               512, 0.0004438230649403135 , 0.02406143171870721 , COMPLETE
    41, 0.917148291465334  , 2026-07-15 21:46:28.484777, 2026-07-15 21:48:16.021363, 0 days 00:01:47.536586,                  512,                     16, resnet34         ,            5,              1024, 0.0002905062369606298 , 0.07796365603363019 , COMPLETE
    42, 0.9078214830595783 , 2026-07-15 21:48:16.021754, 2026-07-15 21:49:39.283326, 0 days 00:01:23.261572,                 1024,                     32, resnet34         ,            5,              1024, 0.00015824713913565548, 0.1074600035401772  , COMPLETE
    43, 0.9119315434021315 , 2026-07-15 21:49:39.283725, 2026-07-15 21:51:04.721155, 0 days 00:01:25.437430,                   64,                      4, resnet34         ,            5,              1024, 0.0011271352831535124 , 0.013931747435131649, COMPLETE
    44, 0.9138095915610928 , 2026-07-15 21:51:04.721561, 2026-07-15 21:52:17.696585, 0 days 00:01:12.975024,                  512,                     32, resnet34         ,            5,              1024, 0.00025269486707065993, 0.03475765580145079 , COMPLETE
    45, 0.9055437762001725 , 2026-07-15 21:52:17.696974, 2026-07-15 21:53:26.017378, 0 days 00:01:08.320404,                  512,                      4, resnet34         ,            4,               256, 0.0005171024991306418 , 0.24913252860645457 , COMPLETE
    46, 0.9128388654983275 , 2026-07-15 21:53:26.017813, 2026-07-15 22:01:34.561457, 0 days 00:08:08.543644,                  128,                     16, convnext_small   ,            3,              1024, 9.609064618651029e-05 , 0.20556092835876383 , COMPLETE
    47, 0.8348392336826551 , 2026-07-15 22:01:34.561873, 2026-07-15 22:03:23.279787, 0 days 00:01:48.717914,                 1024,                     32, resnet34         ,            4,               512, 0.002335617170398295  , 0.17916524312902876 , COMPLETE
    48, 0.9080828885466162 , 2026-07-15 22:03:23.280233, 2026-07-15 22:04:57.692483, 0 days 00:01:34.412250,                  512,                     32, resnet18         ,            5,                64, 0.00036647672379759816, 0.1525148037762208  , COMPLETE
    49, 0.9117593128177726 , 2026-07-15 22:04:57.692845, 2026-07-15 22:08:48.481842, 0 days 00:03:50.788997,                   64,                      4, convnext_tiny    ,            3,               512, 0.0007524099531457457 , 0.08799448447828902 , COMPLETE
    50, 0.8689885396407134 , 2026-07-15 22:08:48.482302, 2026-07-15 22:10:19.403288, 0 days 00:01:30.920986,                  512,                     32, resnet34         ,            4,              1024, 5.35734539264972e-05  , 0.027327832728555712, COMPLETE
    51, 0.9068648118008732 , 2026-07-15 22:10:19.403664, 2026-07-15 22:11:31.643381, 0 days 00:01:12.239717,                  512,                     32, resnet34         ,            5,              1024, 0.0004930488242465513 , 0.1284386524504034  , COMPLETE
    52, 0.9050453987416952 , 2026-07-15 22:11:31.643773, 2026-07-15 22:12:50.295104, 0 days 00:01:18.651331,                  512,                     32, resnet34         ,            5,              1024, 0.0006812338990917665 , 0.11726284417782563 , COMPLETE
